name,sku,price,quantity,image_path,description
Спортивные кроссовки синие,SHOE-001,2500.00,15,exam_images/6.jpg,Спортивные кроссовки с сетчатой поверхностью
Ботинки чёрные кожаные,SHOE-002,4200.00,8,exam_images/picture.png,Классические ботинки из натуральной кожи
Туфли женские чёрные,SHOE-003,3800.00,12,exam_images/Icon.png,Удобные туфли на среднем каблуке
Иконка товара,ICON-001,0.00,0,exam_images/Icon.JPG,Иконка категории товаров
Ботинки бордовые,SHOE-004,3900.00,10,exam_images/10.jpg,Стильные ботинки из натуральной кожи бордового цвета
Кроссовки горные жёлтые,SHOE-005,2800.00,7,exam_images/1.jpg,Профессиональные горные кроссовки с усиленной подошвой
Туфли женские чёрные низкие,SHOE-006,2900.00,14,exam_images/3.jpg,Классические туфли на удобной платформе
Туфли женские открытые,SHOE-007,3200.00,9,exam_images/4.jpg,Стильные туфли на низком каблуке
Ботинки белые высокие,SHOE-008,3500.00,6,exam_images/5.jpg,Молодёжные ботинки с молнией и шнурками
Ботинки чёрные с украшениями,SHOE-009,4100.00,11,exam_images/6.jpg,Эксклюзивные ботинки с металлическими шнурками
Ботинки белые кремовые,SHOE-010,3600.00,8,exam_images/7.jpg,Светлые ботинки с контрастной подошвой
Туфли слипоны чёрные,SHOE-011,2600.00,16,exam_images/8.jpg,Удобные туфли без шнурков для ежедневного использования
Кроссовки спортивные синие,SHOE-012,2700.00,13,exam_images/9.jpg,Легкие спортивные кроссовки для активного образа жизни
Иконка обуви,ICON-002,0.00,0,exam_images/Icon.JPG,Иконка категории обуви
Шаблонное изображение товара,PLACEHOLDER-001,0.00,0,exam_images/picture.png,Стандартное изображение для товаров без фото
